Order,Family,Preservation,Origin,Inventory,Digitised,,
Lepidoptera,Roeslerstammiidae,Pinned,New Zealand,87,0,,
Lepidoptera,Saturniidae,Pinned,New Zealand,44,21,,
Lepidoptera,Scythrididae,Pinned,New Zealand,85,2,,
Lepidoptera,Sphingidae,Pinned,New Zealand,82,0,,
Lepidoptera,Stathmopodidae,Pinned,New Zealand,880,58,,
Lepidoptera,Thyrididae,Pinned,New Zealand,55,4,,
Lepidoptera,Tineidae,Pinned,New Zealand,3693,440,,
Lepidoptera,Tortricidae,Pinned,New Zealand,14298,401,,
Lepidoptera,Xyloryctidae,Pinned,New Zealand,3526,1,,
Lepidoptera,Yponomeutidae,Pinned,New Zealand,160,5,,
Mantodea,All families,Pinned,New Zealand,487,297,,
Mecoptera,All families,Pinned,New Zealand,180,2,,
Megaloptera,All families,Pinned,New Zealand,83,83,,
Neuroptera,All families,Pinned,New Zealand,1062,8,,
Odonata,All families,Pinned,New Zealand,1559,1559,,
Orthoptera,All families,Pinned,New Zealand,1799,40,,
Phasmida,Phasmatodea,Pinned,New Zealand,465,338,,
Plecoptera,All families,Pinned,New Zealand,470,185,,
Psocoptera,All families,Pinned,New Zealand,110,15,,
Trichoptera,All families,Pinned,New Zealand,3200,47,,
